,5
"Hydrocephalus,_nonsyndromic,_autosomal_recessive_2|not_provided",4
"Cardiac_arrhythmia|Long_QT_syndrome|Beckwith-Wiedemann_syndrome|Atrial_fibrillation,_familial,_3|Short_QT_syndrome_type_2|Jervell_and_Lange-Nielsen_syndrome_1|Long_QT_syndrome_1|Cardiovascular_phenotype|not_provided",4
Cardiac_arrhythmia|Long_QT_syndrome|Congenital_long_QT_syndrome|Cardiovascular_phenotype|not_provided,4
Pheochromocytoma|Carney-Stratakis_syndrome|Cowden_syndrome_3|Hereditary_cancer-predisposing_syndrome|Paragangliomas_with_sensorineural_hearing_loss,4
"Hyperlipoproteinemia,_type_I|not_provided",4
"Trichorhinophalangeal_dysplasia_type_I|Trichorhinophalangeal_syndrome,_type_III",4
White_sponge_nevus_1|not_provided,4
Optic_atrophy_3|3-Methylglutaconic_aciduria_type_3|not_provided,4
Nephronophthisis|Infantile_nephronophthisis|not_provided,4
Hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy_4|not_provided,4
"3-methylglutaconic_aciduria_with_cataracts,_neurologic_involvement_and_neutropenia",4
Senior-Loken_syndrome_7|Bardet-Biedl_syndrome_16|not_provided,4
"Congenital_hyperammonemia,_type_I|not_provided",4
"Mucopolysaccharidosis,_MPS-IV-A|not_specified|not_provided",4
Senior-Loken_syndrome_7|Bardet-Biedl_syndrome_16,4
Hutchinson-Gilford_syndrome|not_provided,4
"Medulloblastoma|Malignant_tumor_of_prostate|Hereditary_breast_ovarian_cancer_syndrome|Malignant_tumor_of_breast|Wilms_tumor_1|Fanconi_anemia_complementation_group_D1|Glioma_susceptibility_3|Pancreatic_cancer,_susceptibility_to,_2|Hereditary_cancer-predisposing_syndrome|Familial_cancer_of_breast|Breast-ovarian_cancer,_familial,_susceptibility_to,_2|not_provided",4
"Medulloblastoma|Malignant_tumor_of_prostate|Hereditary_breast_ovarian_cancer_syndrome|Wilms_tumor_1|Fanconi_anemia_complementation_group_D1|Glioma_susceptibility_3|Pancreatic_cancer,_susceptibility_to,_2|Hereditary_cancer-predisposing_syndrome|Familial_cancer_of_breast|Breast-ovarian_cancer,_familial,_susceptibility_to,_2|Breast-ovarian_cancer,_familial,_susceptibility_to,_1|not_provided",4
"Ventricular_tachycardia|Cardiomyopathy|Tibial_muscular_dystrophy|Myopathy,_myofibrillar,_9,_with_early_respiratory_failure|Dilated_cardiomyopathy_1G|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Early-onset_myopathy_with_fatal_cardiomyopathy|not_specified|Cardiovascular_phenotype|not_provided",4
Congenital_contractural_arachnodactyly|Familial_thoracic_aortic_aneurysm_and_aortic_dissection|Ehlers-Danlos_syndrome|not_specified|not_provided,4
"Idiopathic_generalized_epilepsy|Epilepsy,_idiopathic_generalized,_susceptibility_to,_13|Developmental_and_epileptic_encephalopathy,_19|Epilepsy,_childhood_absence_4|not_provided",4
"Primary_dilated_cardiomyopathy|Tibial_muscular_dystrophy|Myopathy,_myofibrillar,_9,_with_early_respiratory_failure|Dilated_cardiomyopathy_1G|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Early-onset_myopathy_with_fatal_cardiomyopathy|not_specified|Cardiovascular_phenotype|not_provided",4
Cardiomyopathy|Arrhythmogenic_cardiomyopathy_with_woolly_hair_and_keratoderma|Arrhythmogenic_right_ventricular_dysplasia_8|Skin_fragility-woolly_hair-palmoplantar_keratoderma_syndrome|Lethal_acantholytic_epidermolysis_bullosa|Arrhythmogenic_right_ventricular_cardiomyopathy|not_specified|Cardiovascular_phenotype|not_provided,4
Severe_neonatal-onset_encephalopathy_with_microcephaly|Rett_syndrome|Inborn_genetic_diseases|not_specified|not_provided,4
Hereditary_leiomyomatosis_and_renal_cell_cancer|Hereditary_cancer-predisposing_syndrome|not_provided,4
Gorlin_syndrome|Holoprosencephaly_7|Hereditary_cancer-predisposing_syndrome,4
"Mitochondrial_complex_1_deficiency,_nuclear_type_5|not_provided",4
"Tibial_muscular_dystrophy|Myopathy,_myofibrillar,_9,_with_early_respiratory_failure|Dilated_cardiomyopathy_1G|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Early-onset_myopathy_with_fatal_cardiomyopathy",4
Arrhythmogenic_right_ventricular_cardiomyopathy|not_provided,4
Congenital_multicore_myopathy_with_external_ophthalmoplegia|not_provided,4
"Deficiency_of_steroid_17-alpha-monooxygenase|17-alpha-hydroxylase/17,20-lyase_deficiency,_combined_complete|not_provided",4
"Congenital_multicore_myopathy_with_external_ophthalmoplegia|Central_core_myopathy|Malignant_hyperthermia,_susceptibility_to,_1|Neuromuscular_disease,_congenital,_with_uniform_type_1_fiber|RYR1-Related_Disorders|not_provided",4
Congenital_contractural_arachnodactyly|Familial_thoracic_aortic_aneurysm_and_aortic_dissection|not_specified|not_provided,4
Hereditary_spastic_paraplegia_6,4
Netherton_syndrome|not_specified|not_provided,4
Netherton_syndrome,4
"Hereditary_breast_ovarian_cancer_syndrome|Hereditary_cancer-predisposing_syndrome|Familial_cancer_of_breast|Breast-ovarian_cancer,_familial,_susceptibility_to,_2|not_specified|Breast_and/or_ovarian_cancer|not_provided",4
Hereditary_pulmonary_alveolar_proteinosis|Interstitial_lung_disease_due_to_ABCA3_deficiency|not_specified|not_provided,4
"Granulomatous_disease,_chronic,_X-linked",4
Ocular_cystinosis|Juvenile_nephropathic_cystinosis|Cystinosis|Nephropathic_cystinosis|not_provided,4
Encephalopathy_due_to_GLUT1_deficiency,4
Kabuki_syndrome_2,4
Autosomal_recessive_congenital_ichthyosis_10|not_specified|not_provided,4
Peroxisome_biogenesis_disorder_4A_(Zellweger)|Peroxisome_biogenesis_disorder|Zellweger_spectrum_disorders|not_specified|not_provided,4
Microcytic_anemia|not_specified|not_provided,4
Congenital_stationary_night_blindness_1C|not_specified|not_provided,4
Lethal_multiple_pterygium_syndrome,4
Cardiac_arrhythmia|Long_QT_syndrome|Congenital_long_QT_syndrome|not_provided,4
Sotos_syndrome_1|Inborn_genetic_diseases|not_provided,4
"Hyperuricemia,_pulmonary_hypertension,_renal_failure,_alkalosis_syndrome|not_specified|not_provided",4
Deficiency_of_UDPglucose-hexose-1-phosphate_uridylyltransferase,4
Junctional_epidermolysis_bullosa_with_pyloric_atresia,4
"Junctional_epidermolysis_bullosa,_non-Herlitz_type",4
Multiple_cutaneous_and_mucosal_venous_malformations|not_provided,4
Galactosemia|Deficiency_of_UDPglucose-hexose-1-phosphate_uridylyltransferase,4
"Tyrosinase-positive_oculocutaneous_albinism|Skin/hair/eye_pigmentation,_variation_in,_1|not_provided",4
"Ch̩diak-Higashi_syndrome|Chediak-Higashi_syndrome,_childhood_type",4
Galactosemia|Deficiency_of_UDPglucose-hexose-1-phosphate_uridylyltransferase|not_specified|not_provided,4
Pendred_syndrome|Autosomal_recessive_nonsyndromic_hearing_loss_4|not_provided,4
"Porokeratosis_3,_disseminated_superficial_actinic_type|Hyperimmunoglobulin_D_with_periodic_fever|Mevalonic_aciduria|not_provided",4
"Familial_cancer_of_breast|Breast-ovarian_cancer,_familial,_susceptibility_to,_2|not_provided",4
"Ehlers-Danlos_syndrome,_type_4|Polymicrogyria_with_or_without_vascular-type_ehlers-danlos_syndrome",4
Smith-Lemli-Opitz_syndrome|Inborn_genetic_diseases|not_specified|not_provided,4
Childhood_absence_epilepsy,4
Metachromatic_leukodystrophy|not_specified|not_provided,4
Myofibrillar_myopathy_6|Dilated_cardiomyopathy_1HH|Cardiovascular_phenotype|not_provided,4
MPDU1-congenital_disorder_of_glycosylation|not_provided,4
"Neurodevelopmental_disorder_with_microcephaly,_cataracts,_and_renal_abnormalities|not_provided",4
"Developmental_and_epileptic_encephalopathy,_12|Inborn_genetic_diseases|not_provided",4
Congenital_glucose-galactose_malabsorption,4
Cardiomyopathy|Catecholaminergic_polymorphic_ventricular_tachycardia|Cardiovascular_phenotype|not_provided,4
"Medulloblastoma|Malignant_tumor_of_prostate|Hereditary_breast_ovarian_cancer_syndrome|Wilms_tumor_1|Fanconi_anemia_complementation_group_D1|Glioma_susceptibility_3|Pancreatic_cancer,_susceptibility_to,_2|Hereditary_cancer-predisposing_syndrome|Familial_cancer_of_breast|Breast-ovarian_cancer,_familial,_susceptibility_to,_2|not_specified|Breast_and/or_ovarian_cancer|not_provided",4
"Charcot-Marie-Tooth_disease_type_4C|Susceptibility_to_mononeuropathy_of_the_median_nerve,_mild|Charcot-Marie-Tooth_disease|Charcot-Marie-Tooth_disease_type_4|Inborn_genetic_diseases|not_provided",4
Parkinson_disease|Autosomal_recessive_early-onset_Parkinson_disease_23,4
"Dystonia_9|Encephalopathy_due_to_GLUT1_deficiency|Inborn_genetic_diseases|GLUT1_deficiency_syndrome_1,_autosomal_recessive|not_specified|not_provided",4
Brugada_syndrome_8|not_specified|Cardiovascular_phenotype|not_provided,4
Nemaline_myopathy_9|not_specified|not_provided,4
Li-Fraumeni_syndrome_1|Hereditary_cancer-predisposing_syndrome|Li-Fraumeni_syndrome|not_specified,4
Cardiomyopathy|Hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy_1|Cardiovascular_phenotype|not_provided,4
Ornithine_aminotransferase_deficiency,4
Catecholaminergic_polymorphic_ventricular_tachycardia|not_specified,4
Long_chain_3-hydroxyacyl-CoA_dehydrogenase_deficiency|not_provided,4
Li-Fraumeni_syndrome_1|Neoplasm_of_ovary|Hereditary_cancer-predisposing_syndrome|Li-Fraumeni_syndrome|not_provided,4
Hereditary_spastic_paraplegia_73,4
Chitotriosidase_deficiency|not_provided,4
"Ehlers-Danlos_syndrome,_kyphoscoliotic_type_1|Familial_thoracic_aortic_aneurysm_and_aortic_dissection|not_provided",4
"Acromesomelic_dysplasia_1,_Maroteaux_type|Tall_stature-scoliosis-macrodactyly_of_the_great_toes_syndrome",4
"Breast_neoplasm|Hereditary_breast_ovarian_cancer_syndrome|Hereditary_cancer-predisposing_syndrome|Breast-ovarian_cancer,_familial,_susceptibility_to,_2|not_specified|not_provided",4
Li-Fraumeni_syndrome_1|Hereditary_cancer-predisposing_syndrome|Li-Fraumeni_syndrome|not_specified|not_provided,4
Acral_peeling_skin_syndrome|not_provided,4
Chronic_kidney_disease|not_provided,4
Methylcobalamin_deficiency_type_cblG|Disorders_of_Intracellular_Cobalamin_Metabolism|not_specified,4
Loeys-Dietz_syndrome_2|Inborn_genetic_diseases|not_specified|not_provided,4
Deficiency_of_2-methylbutyryl-CoA_dehydrogenase|not_provided,4
"Diastrophic_dysplasia|Multiple_epiphyseal_dysplasia_type_4|Atelosteogenesis_type_II|Achondrogenesis,_type_IB",4
Dystonic_disorder|not_specified,4
Hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy_1,4
Tuberous_sclerosis_syndrome|Tuberous_sclerosis_2|not_specified,4
Perrault_syndrome_1|Bifunctional_peroxisomal_enzyme_deficiency|Perrault_syndrome|not_specified|not_provided,4
Charcot-Marie-Tooth_disease_type_4H|Charcot-Marie-Tooth_disease|Charcot-Marie-Tooth_disease_type_4|Inborn_genetic_diseases|not_specified|not_provided,4
Thiopurine_methyltransferase_deficiency,4
Rotor_syndrome|not_provided,4
"Familial_hypercholesterolemia|Warfarin_response|Hypercholesterolemia,_familial,_1|Hypercholesterolemia,_autosomal_dominant,_type_B|Familial_hypobetalipoproteinemia_1|not_specified|Cardiovascular_phenotype|not_provided",4
"Developmental_and_epileptic_encephalopathy,_1|Autosomal_recessive_spinocerebellar_ataxia_12|Developmental_and_epileptic_encephalopathy,_28|not_specified|not_provided",4
Sandhoff_disease|not_provided,4
Brown-Vialetto-van_Laere_syndrome_2|Inborn_genetic_diseases|not_provided,4
"Ciliary_dyskinesia,_primary,_40|not_specified|not_provided",4
UDPglucose-4-epimerase_deficiency|not_specified|not_provided,4
Hermansky-Pudlak_syndrome_2|Hermansky-Pudlak_syndrome|Autoinflammatory_syndrome|not_specified|not_provided,4
Cardiomyopathy|Lethal_congenital_glycogen_storage_disease_of_heart|not_specified|Cardiovascular_phenotype|not_provided,4
Abnormality_of_the_musculature|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2A|not_provided,4
Hermansky-Pudlak_syndrome_1|Hermansky-Pudlak_syndrome|not_specified|not_provided,4
Hereditary_cancer-predisposing_syndrome|not_specified|not_provided,4
Cholestanol_storage_disease|not_specified|not_provided,4
Leigh_syndrome|not_provided,4
Dihydropyrimidinase_deficiency|not_provided,4
Giant_axonal_neuropathy_1,4
Dyskeratosis_congenita|Cerebroretinal_microangiopathy_with_calcifications_and_cysts_1|not_specified|not_provided,4
Dyskeratosis_congenita|Cerebroretinal_microangiopathy_with_calcifications_and_cysts_1|not_provided,4
Retinitis_pigmentosa|Retinal_dystrophy|Usher_syndrome_type_2A|Retinitis_pigmentosa_39|Usher_syndrome|not_provided|Rare_genetic_deafness,4
Congenital_adrenal_hyperplasia_due_to_cytochrome_P450_oxidoreductase_deficiency|not_specified|not_provided,4
Bardet-Biedl_syndrome_2|Bardet-Biedl_syndrome,4
Familial_dysautonomia|not_provided,4
Trichohepatoenteric_syndrome_1|not_provided,4
"Spinocerebellar_ataxia,_autosomal_recessive,_with_axonal_neuropathy_1|not_specified|not_provided",4
Cenani-Lenz_syndactyly_syndrome|Sclerosteosis_2|Congenital_myasthenic_syndrome_17,4
"Cardiomyopathy|Toe_walking|Tibial_muscular_dystrophy|Myopathy,_myofibrillar,_9,_with_early_respiratory_failure|Dilated_cardiomyopathy_1G|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Early-onset_myopathy_with_fatal_cardiomyopathy|not_specified|Cardiovascular_phenotype|not_provided",4
"Hereditary_breast_ovarian_cancer_syndrome|Malignant_tumor_of_breast|Breast-ovarian_cancer,_familial,_susceptibility_to,_2",4
Mucolipidosis_type_II|Pseudo-Hurler_polydystrophy|Mucolipidosis|not_provided,4
3-methylcrotonyl-CoA_carboxylase_2_deficiency|not_provided,4
Familial_hypercholesterolemia|not_provided,4
Fanconi_anemia_complementation_group_P|Fanconi_anemia|not_specified,4
Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2A,4
Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2A|not_specified|not_provided,4
"Cardiomyopathy|Tibial_muscular_dystrophy|Myopathy,_myofibrillar,_9,_with_early_respiratory_failure|Dilated_cardiomyopathy_1G|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Early-onset_myopathy_with_fatal_cardiomyopathy|Arrhythmogenic_right_ventricular_cardiomyopathy|not_specified|Cardiovascular_phenotype|not_provided",4
Meier-Gorlin_syndrome_1|not_specified|not_provided,4
Meretoja_syndrome|not_provided,4
Charcot-Marie-Tooth_disease|Charcot-Marie-Tooth_disease_type_2|Inborn_genetic_diseases|not_specified|not_provided,4
Progressive_sclerosing_poliodystrophy|not_specified|not_provided,4
"Microcephaly_7,_primary,_autosomal_recessive|not_specified|not_provided",4
"Familial_hypercholesterolemia|Hypercholesterolemia,_autosomal_dominant,_type_B|Familial_hypobetalipoproteinemia_1|Cardiovascular_phenotype",4
Glucocorticoid-remediable_aldosteronism|Deficiency_of_steroid_11-beta-monooxygenase|not_provided,4
"Hereditary_breast_ovarian_cancer_syndrome|Breast-ovarian_cancer,_familial,_susceptibility_to,_2|not_specified|not_provided",4
Cardio-facio-cutaneous_syndrome|not_provided,4
"Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2A|not_specified|Limb-Girdle_Muscular_Dystrophy,_Recessive|not_provided",4
"Diabetes_insipidus,_nephrogenic,_X-linked|not_provided",4
Desmin-related_myofibrillar_myopathy|not_specified|Cardiovascular_phenotype|not_provided,4
Fanconi_anemia_complementation_group_I|Fanconi_anemia|not_specified,4
Retinitis_pigmentosa|Retinal_dystrophy|Usher_syndrome_type_2A|Retinitis_pigmentosa_39|Usher_syndrome|not_provided,4
Dilated_cardiomyopathy_1G|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J,4
"Hypercholesterolemia,_autosomal_dominant,_type_B|Familial_hypobetalipoproteinemia_1|not_provided",4
Miller_syndrome|not_provided,4
"46,XY_sex_reversal_6",4
"46,XY_sex_reversal_6|not_provided",4
"Mitochondrial_complex_I_deficiency,_nuclear_type_1",4
"Hearing_loss,_autosomal_dominant_72|not_provided",4
"Intellectual_disability,_autosomal_dominant_6|Developmental_and_epileptic_encephalopathy,_27|Inborn_genetic_diseases|not_specified",4
Cardiomyopathy|Arrhythmogenic_right_ventricular_dysplasia_9,4
Pyruvate_dehydrogenase_E2_deficiency|not_specified|not_provided,4
Somatotroph_adenoma|Hereditary_cancer-predisposing_syndrome|not_provided,4
Charcot-Marie-Tooth_disease_type_4F|Charcot-Marie-Tooth_disease|Charcot-Marie-Tooth_disease_type_4|not_specified|not_provided,4
"Hydatidiform_mole,_recurrent,_1",4
Carcinoma_of_colon|Hereditary_cancer-predisposing_syndrome|Familial_adenomatous_polyposis_1|not_specified|not_provided,4
Autosomal_recessive_DOPA_responsive_dystonia|not_provided,4
Spastic_paraplegia|not_specified|not_provided,4
not_specified|RYR1-Related_Disorders|not_provided,4
Glycogen_storage_disorder_due_to_hepatic_glycogen_synthase_deficiency,4
Acute_infantile_liver_failure_due_to_synthesis_defect_of_mtDNA-encoded_proteins|not_provided,4
Familial_pulmonary_capillary_hemangiomatosis|not_specified|not_provided,4
Primary_dilated_cardiomyopathy|Dilated_cardiomyopathy_1G|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Cardiovascular_phenotype,4
Progressive_familial_heart_block_type_IB|not_specified|Cardiovascular_phenotype|not_provided,4
"Primary_dilated_cardiomyopathy|Tibial_muscular_dystrophy|Myopathy,_myofibrillar,_9,_with_early_respiratory_failure|Dilated_cardiomyopathy_1G|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Early-onset_myopathy_with_fatal_cardiomyopathy|Hypertrophic_cardiomyopathy_9|Cardiovascular_phenotype|not_provided",4
Walker-Warburg_congenital_muscular_dystrophy|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2I|not_specified|Cardiovascular_phenotype|not_provided,4
Becker_muscular_dystrophy|Duchenne_muscular_dystrophy|not_provided,4
Combined_immunodeficiency_due_to_DOCK8_deficiency,4
Primary_ciliary_dyskinesia|Primary_ciliary_dyskinesia_13|not_specified|not_provided,4
Familial_multiple_polyposis_syndrome|Familial_adenomatous_polyposis_1,4
Benign_scapuloperoneal_muscular_dystrophy_with_cardiomyopathy|not_provided,4
Hypertrophic_cardiomyopathy|Primary_familial_hypertrophic_cardiomyopathy|not_specified|Cardiovascular_phenotype|not_provided,4
Colorectal_cancer,4
Christianson_syndrome,4
Hereditary_cancer-predisposing_syndrome|Familial_cancer_of_breast|not_specified,4
"Hereditary_breast_ovarian_cancer_syndrome|Malignant_tumor_of_breast|Fanconi_anemia_complementation_group_D1|Hereditary_cancer-predisposing_syndrome|Breast-ovarian_cancer,_familial,_susceptibility_to,_2|not_specified|not_provided",4
Autoimmune_interstitial_lung_disease-arthritis_syndrome,4
Primary_ciliary_dyskinesia|Primary_ciliary_dyskinesia_13|not_specified,4
Schimke_immuno-osseous_dysplasia,4
Glycogen_storage_disorder_due_to_hepatic_glycogen_synthase_deficiency|not_provided,4
Autosomal_recessive_severe_congenital_neutropenia_due_to_CSF3R_deficiency|not_specified,4
Cardiomyopathy|Hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy_4|not_specified|Cardiovascular_phenotype|not_provided,4
Farber_lipogranulomatosis|not_provided,4
Cone-rod_dystrophy_13|Leber_congenital_amaurosis_6|not_provided,3
Lysinuric_protein_intolerance|not_specified|not_provided,3
Pyogenic_bacterial_infections_due_to_MyD88_deficiency,3
Myoclonic_dystonia_11|not_provided,3
CHARGE_association|Hypogonadotropic_hypogonadism_5_with_or_without_anosmia|not_provided,3
Skeletal_dysplasia|Spondyloepiphyseal_dysplasia_with_congenital_joint_dislocations|Larsen_syndrome|Spondyloepiphyseal_dysplasia_congenita|not_specified,3
Catecholaminergic_polymorphic_ventricular_tachycardia|not_specified|Cardiovascular_phenotype,3
Tenorio_syndrome,3
Maple_syrup_urine_disease|Maple_syrup_urine_disease_type_1A|not_specified|not_provided,3
Homocystinuria_due_to_methylene_tetrahydrofolate_reductase_deficiency,3
"Angioedema,_hereditary,_4|Plasminogen_deficiency,_type_I|not_provided",3
Hereditary_breast_ovarian_cancer_syndrome|Familial_cancer_of_breast,3
Familial_juvenile_hyperuricemic_nephropathy_type_1|not_specified|not_provided,3
Usher_syndrome_type_1D|Autosomal_recessive_nonsyndromic_hearing_loss_12|not_specified|CDH23-Related_Disorders|not_provided,3
Cardiac_arrhythmia|Brugada_syndrome_1|Brugada_syndrome|not_specified|Cardiovascular_phenotype|not_provided,3
Arrhythmogenic_right_ventricular_dysplasia_13,3
Smith-Lemli-Opitz_syndrome,3
Tuberous_sclerosis_2|not_specified,3
"Protoporphyria,_erythropoietic,_1|not_provided",3
"Niemann-Pick_disease,_type_C1|Niemann-Pick_disease,_type_C",3
"Breast_carcinoma|Hereditary_breast_ovarian_cancer_syndrome|Hereditary_cancer-predisposing_syndrome|Breast-ovarian_cancer,_familial,_susceptibility_to,_2|not_provided",3
Charcot-Marie-Tooth_disease_type_4F|Charcot-Marie-Tooth_disease|Charcot-Marie-Tooth_disease_type_4|Inborn_genetic_diseases|not_specified|not_provided,3
Primary_immunodeficiency_with_post-measles-mumps-rubella_vaccine_viral_infection,3
Emery-Dreifuss_muscular_dystrophy,3
"Medulloblastoma|Malignant_tumor_of_prostate|Hereditary_breast_ovarian_cancer_syndrome|Malignant_tumor_of_breast|Wilms_tumor_1|Fanconi_anemia_complementation_group_D1|Glioma_susceptibility_3|Pancreatic_cancer,_susceptibility_to,_2|Hereditary_cancer-predisposing_syndrome|Familial_cancer_of_breast|Breast-ovarian_cancer,_familial,_susceptibility_to,_2|Breast_and/or_ovarian_cancer|not_provided",3
Severe_combined_immunodeficiency_due_to_DCLRE1C_deficiency|DNA_ligase_IV_deficiency|not_specified,3
"Hyperlipidemia,_familial_combined,_LPL_related|Hyperlipoproteinemia,_type_I|Cardiovascular_phenotype|not_provided",3
Peroxisome_biogenesis_disorder_1A_(Zellweger)|Zellweger_spectrum_disorders|not_specified|not_provided,3
Retinitis_pigmentosa|Cone-rod_dystrophy_2|Leber_congenital_amaurosis_7,3
Cataract_18|not_specified|not_provided,3
"Hereditary_breast_ovarian_cancer_syndrome|Malignant_tumor_of_breast|Fanconi_anemia_complementation_group_D1|Hereditary_cancer-predisposing_syndrome|Breast-ovarian_cancer,_familial,_susceptibility_to,_2|not_specified|Breast_and/or_ovarian_cancer|not_provided",3
Kabuki_syndrome_2|not_specified|not_provided,3
Primary_ciliary_dyskinesia_27,3
DNA_ligase_IV_deficiency,3
"Hereditary_breast_ovarian_cancer_syndrome|Hereditary_cancer-predisposing_syndrome|Breast-ovarian_cancer,_familial,_susceptibility_to,_2|BRCA2-Related_Disorders|not_provided",3
"Cardiac_arrhythmia|Progressive_familial_heart_block,_type_1A|Brugada_syndrome_1|Dilated_cardiomyopathy_1E|Ventricular_fibrillation,_paroxysmal_familial,_type_1|Long_QT_syndrome_3|Brugada_syndrome|Sick_sinus_syndrome_1|not_specified|Cardiovascular_phenotype|not_provided",3
Tuberous_sclerosis_syndrome|Hereditary_cancer-predisposing_syndrome,3
"Hereditary_breast_ovarian_cancer_syndrome|Fanconi_anemia_complementation_group_D1|Hereditary_cancer-predisposing_syndrome|Breast-ovarian_cancer,_familial,_susceptibility_to,_2|not_specified",3
Atrophia_bulborum_hereditaria|not_provided,3
Lynch_syndrome|Lynch_syndrome_4|Hereditary_cancer-predisposing_syndrome|Hereditary_nonpolyposis_colon_cancer|Hereditary_nonpolyposis_colorectal_neoplasms|not_provided,3
"Cardiac_arrhythmia|Sick_sinus_syndrome|Long_QT_syndrome|Brugada_syndrome|Congenital_long_QT_syndrome|Progressive_familial_heart_block|Paroxysmal_familial_ventricular_fibrillation|not_specified|Cardiovascular_phenotype|Dilated_Cardiomyopathy,_Dominant|not_provided",3
Brugada_syndrome|not_specified|not_provided,3
"Neoplasm_of_ovary|Hereditary_breast_ovarian_cancer_syndrome|Hereditary_cancer-predisposing_syndrome|Breast-ovarian_cancer,_familial,_susceptibility_to,_2|not_provided",3
Severe_combined_immunodeficiency_due_to_CARD11_deficiency|BENTA_disease,3
Autosomal_recessive_nonsyndromic_hearing_loss_77|not_provided|Rare_genetic_deafness,3
Cardiomyopathy|Arrhythmogenic_right_ventricular_dysplasia_10|Cardiovascular_phenotype|not_provided,3
Lysinuric_protein_intolerance|not_specified,3
Cardiac_arrhythmia|Brugada_syndrome|Cardiovascular_phenotype|not_provided,3
"Hyperlipoproteinemia,_type_I",3
Cardiac_arrhythmia|Brugada_syndrome|not_specified,3
MEGF8-related_Carpenter_syndrome|not_provided,3
Galactosylceramide_beta-galactosidase_deficiency|Usher_syndrome_type_1|Usher_syndrome_type_1D|Autosomal_recessive_nonsyndromic_hearing_loss_12|Encephalopathy_due_to_prosaposin_deficiency|Metachromatic_leukodystrophy|not_specified|Atypical_Gaucher_Disease|not_provided,3
Specific_granule_deficiency,3
"SUDDEN_INFANT_DEATH_SYNDROME|Progressive_familial_heart_block,_type_1A|Brugada_syndrome_1|Dilated_cardiomyopathy_1E|Ventricular_fibrillation,_paroxysmal_familial,_type_1|Long_QT_syndrome_3|Atrial_fibrillation,_familial,_10|Brugada_syndrome|Sick_sinus_syndrome_1|Cardiovascular_phenotype|not_provided",3
Familial_hemophagocytic_lymphohistiocytosis_2|Autoinflammatory_syndrome|not_specified|not_provided,3
Ethylmalonic_encephalopathy|not_provided,3
Exudative_vitreoretinopathy_1,3
Neutral_lipid_storage_myopathy|not_specified,3
"Hereditary_breast_ovarian_cancer_syndrome|Hereditary_cancer-predisposing_syndrome|Familial_cancer_of_breast|Breast-ovarian_cancer,_familial,_susceptibility_to,_2|Breast_and/or_ovarian_cancer|not_provided",3
"Cardiac_arrhythmia|SUDDEN_INFANT_DEATH_SYNDROME|Progressive_familial_heart_block,_type_1A|Brugada_syndrome_1|Dilated_cardiomyopathy_1E|Ventricular_fibrillation,_paroxysmal_familial,_type_1|Long_QT_syndrome_3|Atrial_fibrillation,_familial,_10|Brugada_syndrome|Sick_sinus_syndrome_1|not_provided",3
Cardiomyopathy|Hypertrophic_cardiomyopathy_14|not_specified|not_provided,3
Cardiac_arrhythmia|Brugada_syndrome,3
Cutaneous_porphyria,3
CHARGE_association|Hypogonadotropic_hypogonadism_5_with_or_without_anosmia|Inborn_genetic_diseases|not_provided,3
Hereditary_sensory_and_autonomic_neuropathy_type_7|Familial_episodic_pain_syndrome_with_predominantly_lower_limb_involvement|Inborn_genetic_diseases|not_provided,3
"Cardiac_arrhythmia|SUDDEN_INFANT_DEATH_SYNDROME|Progressive_familial_heart_block,_type_1A|Brugada_syndrome_1|Dilated_cardiomyopathy_1E|Ventricular_fibrillation,_paroxysmal_familial,_type_1|Long_QT_syndrome_3|Atrial_fibrillation,_familial,_10|Brugada_syndrome|Sick_sinus_syndrome_1|Cardiovascular_phenotype|not_provided",3
Left_ventricular_noncompaction_1|not_specified|not_provided,3
Isolated_focal_cortical_dysplasia_type_II|Tuberous_sclerosis_syndrome|Lymphangiomyomatosis|Tuberous_sclerosis_2|Hereditary_cancer-predisposing_syndrome|not_specified|not_provided,3
X-linked_severe_combined_immunodeficiency|not_provided,3
Dilated_cardiomyopathy_1KK|MYPN-related_myopathy|not_specified|Cardiovascular_phenotype|not_provided,3
Usher_syndrome_type_1|Retinitis_pigmentosa-deafness_syndrome|Usher_syndrome_type_1D|Autosomal_recessive_nonsyndromic_hearing_loss_12|not_specified|not_provided,3
Brugada_syndrome|not_specified|Cardiovascular_phenotype|not_provided,3
